,album,artist,date,genre,label,score
65,The Little Red Songbook,Momus,March 29 1999,Rock,"Le Grand Magistery,Le Grand Magistery",6.4
66,Busca Invisibles,Cristian Vogel,March 23 1999,Electronic,"Tresor,Tresor",7.9
67,Futureworld,Trans Am,March 23 1999,"Metal,Rock",Thrill Jockey,8.0
68,Come On Die Young,Mogwai,March 29 1999,Rock,Matador,6.1
69,"Tune In, Turn On, Free Tibet",Ghost,March 30 1999,Metal,"Drag City,Drag City",5.7
70,This is the Way It Goes and Goes and Goes,Juno,March 30 1999,Rock,"DeSoto,PacifiCo,DeSoto,PacifiCo",8.3
71,Peloton,The Delgados,April 6 1999,Rock,Beggars Banquet,8.9
72,Dead Bees on a Cake,David Sylvian,March 30 1999,"Electronic,Experimental,Global,Rock",Virgin,7.3
73,Snuffbox Immanence,Ghost,March 30 1999,Metal,Drag City,8.7
74,When Your Heartstrings Break,Beulah,April 6 1999,Rock,Sugar Free,8.3
75,Utopia Parkway,Fountains of Wayne,April 6 1999,Rock,"Atlantic,Scratchie,Atlantic,Scratchie",5.1
76,The Dream My Bones Dream,Eiko Ishibashi,November 29 2018,Pop/R&B,Drag City,7.5
77,A Brief Inquiry Into Online Relationships,The 1975,November 29 2018,Rock,"Dirty Hit,Interscope",8.5
78,Carboot Soul,Nightmares on Wax,April 12 1999,"Electronic,Jazz","Matador,Warp,Matador,Warp",5.4
79,Anne,Joseph Shabason,November 30 2018,Jazz,Western Vinyl,7.8
80,G I R L C O D E,City Girls,November 28 2018,Rap,"Quality Control,Motown,Capitol",7.0
81,“Ouch”,Nicholas Krgovich,November 29 2018,Rock,Tin Angel,7.2
82,Some Rap Songs,Earl Sweatshirt,November 30 2018,Rap,"Tan Cressida,Columbia",8.8
83,Look Now Look Again,Rainer Maria,November 29 2018,Rock,Polyvinyl,8.3
84,Anthem of the Peaceful Army,Greta Van Fleet,October 23 2018,Rock,"Lava,Republic",1.6
85,Magnetic Memory,Hprizm,November 30 2018,Rap,Don Giovanni,7.7
86,The Bela Session,Bauhaus,December 1 2018,Rock,Leaving,7.9
87,Warzone,Yoko Ono,October 23 2018,Experimental,Chimera,6.3
88,Spoken By the Other EP,"Wolfgang Tillmans,Powell",November 30 2018,"Experimental,Electronic",XL,6.8
89,Ens,BEAST,December 1 2018,Electronic,Thrill Jockey,6.8
90,Good to Feel,Candy,October 25 2018,Metal,Triple B,7.5
91,WRLD on Drugs,"Future,Juice WRLD",October 25 2018,Rap,Epic Records,6.3
92,Broken Politics,Neneh Cherry,October 24 2018,Pop/R&B,Smalltown Supersound,7.3
93,The Anteroom,How to Dress Well,October 24 2018,Pop/R&B,Domino,7.3
94,Songs of Love and Horror,Will Oldham,October 24 2018,Rock,Drag City,7.1
95,Nuthin’ 2 Prove,Lil Yachty,October 24 2018,Rap,"Quality Control,Capitol,Motown",6.1
96,Bohemian Rhapsody OST,Queen,October 25 2018,Rock,Virgin,4.5
97,Brace Up!,"Chris Corsano,Bill Orcutt",December 6 2018,"Jazz,Experimental",Palilalia,8.0
98,Live at Third Man Records,Bill Callahan,December 6 2018,Rock,Third Man,7.4
99,Honey,Robyn,October 25 2018,Pop/R&B,"Konichiwa,Interscope",8.5
100,Merrie Land,"The Good, the Bad & the Queen",December 5 2018,Rock,Studio 13,7.5
101,81b EP,Joy Orbison,October 26 2018,Electronic,Hinge Finger,7.7
102,From the Dirt,Waajeed,December 5 2018,Electronic,Dirt Tech Reck,7.4
103,Heavy Down Pour EP,Zubin,December 6 2018,Rap, Misery Club,6.9
104,Young HeartThrob,Kodie Shane,December 6 2018,Rap,Epic,7.8
105,Glastonbury 2000,David Bowie,December 5 2018,Rock,Parlophone,7.0
106,Utopia Teased,Stephen Steinbrink,December 7 2018,Rock,Western Vinyl,7.3
107,Songs for Judy,Neil Young,December 1 2018,Rock," Shakey Pictures,Reprise",8.0
108,EP ONE,Galya Bisengalieva,December 8 2018,Experimental,Nomad,7.6
109,The Pains of Growing,Alessia Cara,December 7 2018,Pop/R&B,Def Jam,6.8
110,Hence,"Oren Ambarchi,Jim O’Rourke",December 8 2018,Experimental,Editions Mego,7.4
111,Tommy Genesis,Tommy Genesis ,December 1 2018,Rap,Downtown,7.3
112,IIWII (It Is What It Is),Kirk Knight,December 4 2018,Rap,"Pro Era,RED Music Solutions",5.7
113,WARM,Jeff Tweedy,December 3 2018,Rock,dBpm,8.3
114,Throne,Heather Leigh,December 7 2018,Experimental,Editions Mego,7.7
115,"Iron Maiden,Killers, The Number of the Beast ,Piece of Mind","Iron Maiden,Iron Maiden,Iron Maiden,Iron Maiden",December 4 2018,Metal,"Parlophone,Parlophone,Parlophone,Parlophone","7.0,7.3,9.0,8.5"
116,Spencer Sings the Hits!,Jon Spencer,December 3 2018,Rock,In the Red,7.3
117,Like Memory Foam,didi,December 3 2018,Rock,Damnably,7.1
118,Homework,Daft Punk,December 2 2018,Electronic,Virgin,9.2
119,DUMMY BOY,6ix9ine,December 3 2018,Rap,ScumGang Records,3.4
120,Superstition,Funeral Chic,November 20 2018,Metal,Prosthetic,7.1
121,Diplomatic Ties,Dipset,December 4 2018,Rap,"Set Life,EMPIRE",4.0
122,Championships,Meek Mill,December 4 2018,Rap,Maybach Music Group,7.7
